City,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Time of Data,Country Code
Provideniya,64.38,-173.3,51.8,71,90,13.42,1596152844,RU
Longyearbyen,78.22,15.64,48.2,87,75,6.93,1596152844,SJ
Bredasdorp,-34.53,20.04,46.4,93,0,5.82,1596152844,ZA
Nikolskoye,59.7,30.79,57.2,87,30,4.47,1596152845,RU
Port Shepstone,-30.74,30.45,58.75,77,49,9.06,1596152845,ZA
Oussouye,12.48,-16.55,80.6,88,40,9.17,1596152845,SN
Hilo,19.73,-155.09,84.2,54,1,10.29,1596152837,US
Narsaq,60.92,-46.05,48.2,81,100,9.17,1596152846,GL
Jamestown,42.1,-79.24,73.99,53,1,3.36,1596152742,US
Kavieng,-2.57,150.8,84.83,73,100,9.6,1596152846,PG
Maceió,-9.67,-35.74,69.8,94,40,6.93,1596152846,BR
Upernavik,72.79,-56.15,43.88,74,56,2.95,1596152846,GL
Mount Isa,-20.73,139.5,66.2,25,0,14.99,1596152847,AU
Laguna,38.42,-121.42,98.01,19,5,9.17,1596152847,US
Cape Town,-33.93,18.42,51.8,93,0,2.24,1596152847,ZA
Cidreira,-30.18,-50.21,56.14,78,0,14.99,1596152848,BR
Miramar,25.99,-80.23,87.8,62,1,12.75,1596152835,US
Notodden,59.56,9.26,54.0,86,5,3.96,1596152848,NO
Mt. Pleasant,32.79,-79.86,84.99,79,40,10.29,1596152849,US
Kraljevo,43.73,20.69,69.8,100,0,1.12,1596152849,RS
Souillac,-20.52,57.52,69.8,88,75,6.93,1596152849,MU
Saskylakh,71.92,114.08,60.12,60,0,2.93,1596152849,RU
Qaqortoq,60.72,-46.03,48.2,81,100,9.17,1596152849,GL
Cabo Rojo,18.09,-67.15,80.01,94,100,4.0,1596152850,PR
Mar del Plata,-38.0,-57.56,48.0,81,88,9.17,1596152850,AR
Albany,42.6,-73.97,79.0,55,94,6.46,1596152714,US
Chui,-33.7,-53.46,45.61,86,0,9.93,1596152851,UY
Vila Franca do Campo,37.72,-25.43,69.8,77,20,8.05,1596152851,PT
Adrar,20.5,-10.07,92.12,35,39,4.9,1596152729,MR
Port Alfred,-33.59,26.89,56.14,84,23,7.78,1596152851,ZA
Qaanaaq,77.48,-69.36,41.95,66,22,5.93,1596152851,GL
Samarai,-10.62,150.67,75.47,70,85,15.82,1596152852,PG
Thompson,55.74,-97.86,66.2,93,90,3.36,1596152852,CA
Zhenjiang,32.21,119.43,84.0,87,100,1.01,1596152852,CN
Bluff,-46.6,168.33,49.66,89,100,3.69,1596152852,NZ
Makkah al Mukarramah,21.43,39.83,87.04,58,94,7.56,1596152852,SA
Hurghada,27.26,33.81,93.2,34,0,4.7,1596152853,EG
Auki,-8.77,160.7,86.25,67,76,1.68,1596152853,SB
Yelat'ma,54.97,41.75,54.64,95,59,6.44,1596152853,RU
Vardø,70.37,31.11,51.44,91,74,11.95,1596152854,NO
Lokosovo,61.13,74.82,53.17,73,17,2.82,1596152854,RU
Okahandja,-21.98,16.92,51.8,29,0,3.36,1596152854,NA
Ardahan,41.11,42.7,50.63,87,6,2.44,1596152854,TR
Talara,-4.58,-81.27,61.93,86,27,11.63,1596152854,PE
Shingū,33.73,135.98,82.4,78,20,4.7,1596152855,JP
Vaini,-21.2,-175.2,75.2,64,20,11.41,1596152781,TO
Kajaani,64.23,27.73,53.6,81,98,8.05,1596152855,FI
Muchkapskiy,51.85,42.47,62.83,93,91,4.05,1596152856,RU
Turukhansk,65.82,87.98,62.92,73,97,16.93,1596152856,RU
Bathsheba,13.22,-59.52,82.4,74,20,13.87,1596152856,BB
Klyuchi,52.27,79.17,57.52,54,70,9.64,1596152856,RU
Severo-Kuril'sk,50.68,156.12,56.64,89,97,9.13,1596152857,RU
Zeya,53.75,127.27,72.48,85,83,6.24,1596152857,RU
Hermanus,-34.42,19.23,46.0,96,0,5.59,1596152857,ZA
Norman Wells,65.28,-126.83,75.2,50,40,12.75,1596152858,CA
Kavaratti,10.57,72.64,82.02,78,99,15.95,1596152858,IN
Portland,45.52,-122.68,97.0,30,20,10.29,1596152782,US
Benghazi,32.12,20.07,78.31,81,0,9.69,1596152858,LY
Berlevåg,70.86,29.09,51.8,87,75,6.93,1596152858,NO
North Myrtle Beach,33.82,-78.68,82.0,83,90,10.29,1596152607,US
Kauhajoki,62.43,22.18,59.0,93,93,6.93,1596152859,FI
Mayo,38.89,-76.51,88.0,70,1,8.05,1596152859,US
Tomatlán,19.93,-105.25,85.66,68,100,5.84,1596152859,MX
Yerbogachën,61.28,108.01,60.8,67,45,10.63,1596152860,RU
Alofi,-19.06,-169.92,75.2,64,40,14.99,1596152860,NU
Port Elizabeth,-33.92,25.57,53.6,87,2,4.7,1596152861,ZA
Wanaka,-44.7,169.15,47.35,79,92,2.51,1596152722,NZ
Sivaki,52.63,126.75,66.78,94,99,4.74,1596152861,RU
Isangel,-19.55,169.27,78.8,74,15,8.05,1596152861,VU
Haines Junction,60.75,-137.51,74.61,36,0,9.01,1596152861,CA
Korla,41.76,86.15,77.0,63,0,1.99,1596152862,CN
Wangkui,46.83,126.5,73.31,86,84,6.93,1596152862,CN
Miraflores,19.22,-98.81,75.2,68,90,13.87,1596152862,MX
Nome,64.5,-165.41,57.0,93,90,8.05,1596152862,US
Killybegs,54.63,-8.45,60.01,86,88,10.0,1596152863,IE
Alta Floresta,-9.88,-56.09,75.9,33,0,2.98,1596152863,BR
Homer,59.64,-151.55,64.99,63,75,11.41,1596152863,US
Hīt,33.64,42.83,94.82,13,0,9.31,1596152863,IQ
Port Augusta,-32.5,137.77,52.0,93,0,5.82,1596152622,AU
Pedernales,18.04,-71.74,82.4,83,90,6.93,1596152864,DO
Olafsvik,64.89,-23.71,50.43,76,94,7.85,1596152864,IS
Pisco,-13.7,-76.22,62.6,72,5,13.87,1596152779,PE
Bethel,41.37,-73.41,78.8,74,20,3.36,1596152849,US
Kahului,20.89,-156.47,89.6,40,40,19.46,1596152865,US
Grindavik,63.84,-22.43,50.0,93,75,6.93,1596152865,IS
Yellowknife,62.46,-114.35,71.6,46,40,13.87,1596152865,CA
Roald,62.58,6.13,57.99,93,31,3.36,1596152866,NO
Kiruna,67.86,20.23,50.0,81,19,2.24,1596152866,SE
Anadyr,64.75,177.48,57.2,67,75,8.95,1596152866,RU
Chino Valley,34.76,-112.45,102.99,7,1,8.05,1596152867,US
Vao,-22.67,167.48,72.63,90,26,17.85,1596152867,NC
Fairbanks,64.84,-147.72,79.0,36,20,12.62,1596152607,US
Yulara,-25.24,130.99,46.4,31,0,8.05,1596152674,AU
Chapais,49.78,-74.85,64.4,88,90,3.36,1596152860,CA
Khatanga,71.97,102.5,66.9,43,17,13.8,1596152868,RU
Ruska Poliana,49.42,31.92,64.9,83,43,6.22,1596152868,UA
Los Andes,-32.83,-70.6,53.6,62,75,6.93,1596152868,CL
Dandong,40.13,124.39,74.77,85,99,7.81,1596152868,CN
Victor Harbor,-35.57,138.62,46.0,93,82,7.99,1596152869,AU
Yurginskoye,56.82,67.39,54.52,98,76,2.93,1596152869,RU
Khandyga,62.67,135.6,70.61,29,0,4.63,1596152869,RU
Birjand,32.87,59.22,75.2,22,0,6.93,1596152869,IR
Road Town,18.42,-64.62,82.0,93,100,11.01,1596152870,VG
Sosnovo-Ozerskoye,52.52,111.54,61.18,95,100,4.14,1596152870,RU
Lorengau,-2.02,147.27,86.14,64,100,5.93,1596152870,PG
Llangefni,53.26,-4.31,61.0,77,68,8.05,1596152870,GB
Tiksi,71.69,128.87,42.17,89,95,5.39,1596152871,RU
Channel-Port aux Basques,47.57,-59.14,62.74,94,95,5.82,1596152871,CA
Naze,28.37,129.48,84.2,83,40,6.93,1596152871,JP
Florida,28.75,-82.5,86.0,70,1,5.82,1596152764,US
Whitianga,-36.83,175.7,59.0,73,95,10.0,1596152871,NZ
Tarabha,20.73,83.65,81.19,77,100,1.54,1596152872,IN
Aranos,-24.13,19.12,49.75,43,0,9.69,1596152872,NA
Tavrichanka,43.34,131.86,71.6,94,90,4.47,1596152872,RU
Port Hedland,-20.32,118.57,57.2,35,1,5.82,1596152845,AU
Tokur,53.13,132.9,65.91,88,78,4.5,1596152873,RU
Buraidah,26.33,43.98,96.8,28,26,9.17,1596152873,SA
Orlik,52.52,99.83,57.13,71,14,2.17,1596152873,RU
San Cristobal,7.77,-72.22,86.0,51,40,26.4,1596152873,VE
Quang Ngai,15.12,108.8,77.83,88,100,3.18,1596152874,VN
Texarkana,33.43,-94.05,91.4,52,1,17.22,1596152874,US
Aklavik,68.22,-135.01,77.0,41,75,11.41,1596152874,CA
Puerto Ayora,-0.74,-90.35,68.0,91,90,3.0,1596152874,EC
Longkou,37.65,120.33,80.08,80,2,7.94,1596152875,CN
Oranjestad,12.52,-70.03,87.8,70,20,11.41,1596152875,AW
Parabel',58.7,81.48,51.62,87,96,4.41,1596152875,RU
Carutapera,-1.2,-46.02,75.6,92,81,4.83,1596152875,BR
Moose Factory,51.26,-80.61,71.6,78,75,3.36,1596152876,CA
Tasiilaq,65.61,-37.64,46.4,65,96,1.66,1596152876,GL
Havøysund,71.0,24.66,55.4,66,69,10.29,1596152876,NO
Padang,-0.95,100.35,73.4,94,40,2.24,1596152877,ID
Yangi Marg`ilon,40.43,71.72,77.0,47,42,4.7,1596152877,UZ
Kiryat Gat,31.61,34.76,78.01,58,0,1.01,1596152877,IL
Gemeente Wassenaar,52.13,4.4,66.99,82,20,3.36,1596152877,NL
Husavik,66.04,-17.34,50.0,87,75,6.93,1596152878,IS
Poli,-3.33,36.8,58.48,96,78,5.03,1596152878,TZ
Buckeye,33.37,-112.58,118.4,7,0,11.41,1596152700,US
Kutulik,53.35,102.78,60.58,85,9,7.99,1596152878,RU
Rodrigues Alves,-7.74,-72.65,76.62,64,14,2.95,1596152879,BR
Geraldton,-28.77,114.6,50.0,93,93,8.05,1596152879,AU
Saint Anthony,45.02,-93.22,82.4,39,40,10.29,1596152879,US
Tiznit Province,29.58,-9.5,83.71,35,86,2.01,1596152879,MA
Yaring,6.87,101.37,79.57,82,96,9.91,1596152880,TH
Alamosa,37.47,-105.87,87.8,10,20,14.99,1596152813,US
Dekernes,31.09,31.59,78.8,83,0,5.82,1596152880,EG
Mahébourg,-20.41,57.7,69.8,88,75,6.93,1596152880,MU
Srednekolymsk,67.45,153.68,58.06,50,75,11.86,1596152881,RU
Washington,47.5,-120.5,104.0,15,1,4.7,1596152881,US
Comodoro Rivadavia,-45.87,-67.5,41.0,80,100,3.71,1596152881,AR
Chokurdakh,70.63,147.92,47.53,76,91,9.78,1596152881,RU
Avarua,-21.21,-159.78,71.6,56,96,6.93,1596152882,CK
Retalhuleu,14.53,-91.68,87.8,74,40,9.17,1596152882,GT
Richards Bay,-28.78,32.04,61.02,71,13,5.75,1596152882,ZA
Beyneu,45.32,55.2,69.33,53,0,4.88,1596152883,KZ
Saint George,37.1,-113.58,109.0,7,1,14.99,1596152857,US
Esperance,-33.87,121.9,48.2,100,98,5.82,1596152883,AU
Tres Arroyos,-38.37,-60.28,46.0,62,99,17.58,1596152883,AR
Ankang,32.68,109.02,76.33,81,86,0.09,1596152883,CN
Nueva Guinea,11.69,-84.46,78.06,85,21,7.87,1596152884,NI
Borogontsy,62.67,131.17,68.22,39,0,5.39,1596152884,RU
Ossora,59.24,163.07,56.14,76,26,8.39,1596152884,RU
Nemuro,43.32,145.57,71.6,78,20,9.17,1596152884,JP
Meulaboh,4.14,96.13,77.22,80,100,4.5,1596152885,ID
Kefamenanu,-9.45,124.48,70.66,71,71,5.55,1596152885,ID
Grootfontein,-19.57,18.12,46.44,52,0,6.76,1596152885,NA
Beckley,37.78,-81.19,71.01,100,90,3.36,1596152885,US
Broken Hill,-31.95,141.43,50.0,71,0,6.93,1596152885,AU
Bandarbeyla,9.49,50.81,79.12,74,12,26.24,1596152886,SO
Bhīnmāl,25.0,72.25,86.16,68,91,9.64,1596152886,IN
Lavrentiya,65.58,-171.0,47.53,79,100,10.78,1596152886,RU
Alugan,12.22,125.48,81.77,76,100,1.99,1596152886,PH
Palu,-0.89,119.87,79.34,77,99,1.34,1596152887,ID
Dingle,11.0,122.67,82.18,80,99,8.05,1596152887,PH
Genhe,50.78,121.52,65.97,87,92,2.55,1596152887,CN
San Patricio,19.22,-104.7,89.6,75,75,11.41,1596152887,MX
Mayya,61.73,130.28,64.4,52,3,2.24,1596152887,RU
Agua Verde,22.9,-106.05,87.8,66,75,9.17,1596152888,MX
Daru,-9.08,143.21,76.39,77,95,17.02,1596152888,PG
Tura,25.52,90.22,74.37,97,93,4.18,1596152826,IN
Acapulco de Juárez,16.86,-99.89,87.8,70,40,6.93,1596152871,MX
The Valley,18.22,-63.06,84.2,79,40,12.75,1596152889,AI
George Town,5.41,100.34,78.8,94,20,5.66,1596152671,MY
Harboøre,56.62,8.18,55.99,84,76,16.33,1596152889,DK
Zhezkazgan,47.8,67.71,70.02,43,100,7.34,1596152889,KZ
Touros,-5.2,-35.46,73.4,78,0,6.93,1596152889,BR
Kamwenge,0.19,30.45,68.43,67,49,1.77,1596152890,UG
Nouadhibou,20.93,-17.03,73.4,83,40,8.05,1596152890,MR
Buchanan,5.88,-10.05,75.2,94,75,7.4,1596152890,LR
Carnarvon,-24.87,113.63,60.8,93,0,11.41,1596152890,AU
Batangafo,7.3,18.28,70.59,95,36,2.71,1596152891,CF
Pitimbu,-7.47,-34.81,73.4,94,10,5.82,1596152891,BR
St. George's,12.06,-61.75,80.6,83,40,16.11,1596152891,GD
Inhambane,-23.86,35.38,64.09,84,0,7.65,1596152891,MZ
Develi,38.39,35.49,62.6,72,0,4.7,1596152892,TR
Torbay,47.67,-52.73,61.0,100,90,2.24,1596152892,CA
Aswān,24.09,32.91,96.3,23,19,6.2,1596152892,EG
Conceição do Araguaia,-8.26,-49.26,84.2,42,22,3.36,1596152892,BR
Banda Aceh,5.56,95.32,80.38,73,100,12.62,1596152893,ID
Saint Paul Harbor,57.79,-152.41,62.6,63,75,12.75,1596152893,US
Guru Har Sahāi,30.72,74.42,82.22,79,4,7.49,1596152893,IN
Haimen,23.19,116.61,84.2,79,20,8.95,1596152894,CN
Mirny,62.54,113.96,60.8,59,51,13.42,1596152894,RU
Sarkand,45.41,79.92,61.34,33,96,1.74,1596152894,KZ
Port-Cartier,50.03,-66.87,61.0,100,90,10.29,1596152894,CA
Kurayoshi,35.43,133.82,80.6,88,75,2.24,1596152895,JP
Matamoros,25.53,-103.25,86.0,40,75,16.11,1596152895,MX
Nyurba,63.28,118.33,60.85,66,0,6.2,1596152895,RU
Ola,59.58,151.28,58.41,59,47,5.88,1596152895,RU
Provincia di Cremona,45.23,9.93,81.0,81,10,3.6,1596152895,IT
Muros,42.78,-9.06,63.0,93,90,5.82,1596152896,ES
Greymouth,-42.47,171.2,53.1,66,92,5.46,1596152896,NZ
Port Hardy,50.7,-127.42,77.0,47,20,9.17,1596152751,CA
Tuy Hoa,13.08,109.3,79.86,80,100,13.13,1596152897,VN
Pangnirtung,66.15,-65.71,52.41,77,100,1.88,1596152897,CA
Valparaíso,-33.04,-71.63,53.6,76,100,4.7,1596152843,CL
Jumla,29.27,82.18,62.17,71,90,0.11,1596152897,NP
Huarmey,-10.07,-78.15,61.63,81,2,6.38,1596152897,PE
Tuktoyaktuk,69.45,-133.04,66.2,63,75,2.24,1596152898,CA
Umluj,25.02,37.27,84.92,77,50,3.02,1596152898,SA
Ambulu,-8.35,113.61,73.04,83,28,2.33,1596152898,ID
Pontianak,-0.03,109.33,74.64,84,97,5.91,1596152898,ID
Itarema,-2.92,-39.92,78.35,75,39,13.47,1596152899,BR
Kilindoni,-7.91,39.67,76.42,80,49,19.62,1596152899,TZ
Ekhabi,53.51,142.97,60.66,75,46,10.4,1596152899,RU
Baghmara,23.8,86.21,82.27,76,99,4.36,1596152899,IN
Santo Antônio do Içá,-3.1,-67.94,76.8,66,0,2.44,1596152899,BR
Grand Island,40.92,-98.34,75.0,69,75,11.41,1596152900,US
Sungai Raya,0.7,108.9,77.77,86,100,10.58,1596152900,ID
Mana,5.66,-53.78,78.73,79,8,3.8,1596152900,GF
Walla Walla,46.06,-118.34,111.0,13,1,3.36,1596152900,US
Nikkō,36.75,139.62,77.0,78,98,3.0,1596152901,JP
Huilong,31.81,121.66,87.01,84,100,3.0,1596152901,CN
Praia da Vitória,38.73,-27.07,71.6,78,75,11.63,1596152901,PT
Cherskiy,68.75,161.3,47.52,71,97,9.1,1596152901,RU
Miguelópolis,-20.18,-48.03,74.08,50,71,11.34,1596152902,BR
Avera,33.19,-82.53,84.99,100,40,9.64,1596152902,US
Sørland,67.67,12.69,57.2,93,81,6.93,1596152902,NO
Clyde River,70.47,-68.59,37.4,100,90,13.87,1596152902,CA
Causapscal,48.35,-67.23,59.0,1,74,1.79,1596152903,CA
Kruisfontein,-34.0,24.73,49.1,85,0,5.28,1596152903,ZA
Anzio,41.49,12.62,78.01,88,5,3.36,1596152903,IT
Liku,-0.73,119.89,78.69,78,98,1.43,1596152904,ID
Juruti,-2.15,-56.09,81.25,59,87,1.95,1596152904,BR
Gijang,35.24,129.21,77.0,83,99,3.36,1596152904,KR
Asău,46.43,26.4,64.0,92,1,2.06,1596152904,RO
Honiara,-9.43,159.95,87.8,70,40,4.7,1596152904,SB
Inuvik,68.35,-133.72,75.2,41,75,11.41,1596152905,CA
Sioux Lookout,50.1,-91.92,78.8,36,5,4.7,1596152752,CA
Cabo San Lucas,22.89,-109.91,91.4,54,5,13.87,1596152893,MX
Sitka,57.05,-135.33,66.2,68,1,5.82,1596152905,US
Nabire,-3.37,135.48,76.86,89,100,4.72,1596152794,ID
Port Macquarie,-31.43,152.92,60.01,76,38,1.99,1596152906,AU
Hambantota,6.12,81.12,77.0,100,40,9.17,1596152906,LK
Zhangaözen,43.3,52.8,68.34,46,0,6.89,1596152906,KZ
Changli,39.7,119.15,84.54,68,4,4.29,1596152907,CN
Henties Bay,-22.12,14.28,68.59,31,0,8.03,1596152907,NA
Port Lincoln,-34.73,135.87,55.56,60,56,12.75,1596152907,AU
Ballina,-28.87,153.57,61.0,63,44,12.75,1596152907,AU
Viedma,-40.81,-63.0,50.0,61,87,5.01,1596152730,AR
Mbeya,-8.9,33.45,55.83,86,14,6.91,1596152908,TZ
Vanimo,-2.67,141.3,84.47,69,16,4.85,1596152908,PG
Caravelas,-17.71,-39.25,71.42,81,0,7.29,1596152908,BR
Katsuura,35.13,140.3,75.2,94,75,1.12,1596152908,JP
Fort Nelson,58.81,-122.7,78.8,36,20,6.93,1596152760,CA
Isla Vista,34.41,-119.86,87.8,56,1,12.75,1596152909,US
Camopi,3.17,-52.32,76.82,79,94,2.15,1596152909,GF
Itupiranga,-5.13,-49.33,78.8,65,51,2.24,1596152909,BR
Booué,-0.09,11.94,72.21,87,96,3.42,1596152909,GA
Yining,29.04,114.56,81.14,82,18,1.14,1596152910,CN
Karibib,-21.93,15.83,55.35,36,0,13.0,1596152910,NA
Uusikaupunki,60.8,21.41,51.8,100,8,2.24,1596152910,FI
Palimbang,6.21,124.19,84.02,67,17,5.01,1596152910,PH
Nortelândia,-14.45,-56.8,79.65,37,30,3.33,1596152910,BR
Acaraú,-2.89,-40.12,78.03,77,43,12.86,1596152911,BR
Tessalit,20.2,1.01,95.4,10,0,10.6,1596152911,ML
Bereket,39.24,55.52,76.24,39,0,4.63,1596152911,TM
Progreso,21.28,-89.67,89.6,62,75,4.7,1596152911,MX
Raudeberg,61.99,5.14,59.0,87,25,6.93,1596152912,NO
Saint-Augustin,51.23,-58.65,59.83,86,96,11.63,1596152690,CA
Tilichiki,60.47,166.1,50.88,95,100,6.64,1596152912,RU
Taltal,-25.4,-70.48,60.53,55,11,4.52,1596152912,CL
Armidale,-30.52,151.65,45.0,68,10,8.01,1596152912,AU
Negombo,7.21,79.84,78.8,88,75,3.36,1596152913,LK
Tōno,39.32,141.53,69.8,88,75,2.24,1596152913,JP
Mayna,54.11,47.62,60.78,97,97,7.34,1596152913,RU
Ribeira Grande,38.52,-28.7,70.45,76,64,13.38,1596152914,PT
Oyama,36.3,139.8,78.01,94,75,2.24,1596152914,JP
Flinders,-34.58,150.86,57.0,65,20,5.99,1596152914,AU
Vestmannaeyjar,63.44,-20.27,52.92,84,100,10.33,1596152914,IS
Paragominas,-2.97,-47.48,77.0,65,87,3.06,1596152914,BR
Kamyshevatskaya,46.41,37.96,76.55,56,0,3.8,1596152915,RU
Kautokeino,69.01,23.04,45.46,91,22,7.96,1596152915,NO
Muzhi,65.37,64.67,49.69,83,12,1.45,1596152915,RU
Palmer,42.16,-72.33,81.0,65,75,4.7,1596152897,US
Kesova Gora,57.58,37.29,51.55,97,70,9.31,1596152916,RU
Pacifica,37.61,-122.49,72.0,87,90,11.41,1596152847,US
Baisha,26.52,110.93,80.55,80,70,0.04,1596152916,CN
Tabuk,17.42,121.44,76.62,90,100,3.96,1596152916,PH
Belyy Yar,53.6,91.39,59.0,87,100,6.71,1596152917,RU
Shelburne,44.08,-80.2,73.4,60,1,6.93,1596152917,CA
Krutikha,53.96,81.21,52.5,79,68,4.72,1596152917,RU
Kolomna,55.08,38.78,55.4,87,33,4.47,1596152918,RU
Hamilton,39.18,-84.53,70.0,88,90,7.78,1596152897,US
Atambua,-9.11,124.89,73.27,62,48,6.33,1596152918,ID
Hay River,60.82,-115.8,73.4,46,75,4.7,1596152736,CA
Stawell,-37.05,142.77,46.42,78,62,5.3,1596152918,AU
East London,-33.02,27.91,59.14,76,53,5.93,1596152919,ZA
Vigeland,58.08,7.3,57.0,88,58,17.0,1596152919,NO
Hvide Sande,56.0,8.13,55.0,81,75,13.58,1596152919,DK
Wajima,37.4,136.9,73.4,100,75,10.29,1596152919,JP
Marawi,8.0,124.29,75.99,91,78,4.0,1596152920,PH
Bariloche,-41.15,-71.31,37.4,93,75,11.41,1596152834,AR
Poplar Bluff,36.76,-90.39,86.0,69,20,8.05,1596152920,US
Lima,-12.04,-77.03,60.8,77,40,8.05,1596152859,PE
Grand Gaube,-20.01,57.66,69.01,84,1,1.99,1596152921,MU
Philadelphia,39.95,-75.16,89.01,62,90,8.05,1596152852,US
Klaksvík,62.23,-6.59,50.0,93,100,13.87,1596152895,FO
Locri,38.24,16.26,82.4,65,5,3.36,1596152921,IT
Nueve de Julio,-35.44,-60.88,48.99,53,16,3.0,1596152921,AR
Kūstī,13.16,32.66,82.69,62,95,9.37,1596152922,SD
Tongliao,43.61,122.27,87.06,45,80,14.54,1596152922,CN
Bambous Virieux,-20.34,57.76,69.8,88,75,6.93,1596152922,MU
Hervey Bay,-25.3,152.85,66.0,68,2,10.0,1596152923,AU
Araouane,18.9,-3.53,96.4,30,0,16.02,1596152923,ML
Remanso,-9.62,-42.08,74.68,49,0,16.08,1596152923,BR
Lukulu,-14.37,23.24,54.99,50,0,6.35,1596152923,ZM
Portobelo,9.55,-79.65,88.0,70,85,8.99,1596152923,PA
Pevek,69.7,170.31,36.64,96,100,9.24,1596152924,RU
Malindi,-3.22,40.12,74.98,89,6,9.73,1596152924,KE
Newport Beach,33.62,-117.93,88.0,50,20,9.17,1596152731,US
Gushi,34.64,109.58,78.66,72,95,0.54,1596152924,CN
Iqaluit,63.75,-68.51,55.4,76,90,20.02,1596152908,CA
Tuatapere,-46.13,167.68,52.77,86,90,3.53,1596152925,NZ
Kaitangata,-46.28,169.85,52.0,79,99,7.0,1596152925,NZ
Langxiang,46.95,128.88,78.13,65,48,2.46,1596152925,CN
São João da Barra,-21.64,-41.05,68.07,83,89,22.59,1596152926,BR
Cayenne,4.93,-52.33,80.6,83,20,3.36,1596152926,GF
Krasnyy Chikoy,50.36,108.75,63.81,84,100,2.82,1596152926,RU
Chicama,-7.84,-79.15,61.81,79,32,5.93,1596152926,PE
Bubaque,11.28,-15.83,80.24,82,100,17.05,1596152927,GW
La Santisima Trinidad,-14.83,-64.9,66.33,39,3,2.82,1596152927,BO
Belluno,46.15,12.22,79.0,80,93,6.24,1596152927,IT
Basco,20.45,121.97,84.83,82,100,19.08,1596152927,PH
Zwedru,6.07,-8.13,71.4,97,63,2.82,1596152927,LR
Codrington,-38.27,141.97,48.72,80,79,10.25,1596152928,AU
Ilulissat,69.22,-51.1,46.4,65,75,3.36,1596152928,GL
Magadan,59.57,150.8,57.69,60,39,4.81,1596152928,RU
Takoradze,4.88,-1.76,73.87,87,36,7.43,1596152929,GH
Estelle,29.85,-90.11,91.99,75,40,14.99,1596152929,US
